tile,ra,dec,star_ra,star_dec,mag,radius,class,tileRA,tileDec,ra_transform,radist,decdist
0.0_-27.2,0.360417650721249,-27.5712296214187,0.33225485201573,-27.5422219824182,9.43357182,3.05492111321551,2,0,-27.2,0.360417650721249,0.405229385858412,0.371229621418699
0.0_-27.2,0.617169521709921,-27.1291813727016,0.567619250681418,-27.1348671398257,8.74014473,3.05492111321551,2,0,-27.2,0.617169521709921,0.693903935483082,0.0708186272984008
0.0_-27.2,0.618115205686266,-27.1294528032189,0.568494533305561,-27.1351161477001,8.44544888,3.05492111321551,2,0,-27.2,0.618115205686266,0.694967198994687,0.0705471967810993
0.0_-27.2,0.115640269786793,-27.0211532525939,0.106027611222721,-27.0360199830268,9.57846355,3.05492111321551,2,0,-27.2,0.115640269786793,0.130018148146817,0.178846747406098
0.0_-27.2,0.055945472089999,-26.8476236190857,0.0515214925872885,-26.8754883564481,9.10451221,3.05492111321551,2,0,-27.2,0.055945472089999,0.0629013291974512,0.352376380914301
0.0_-27.2,359.989113291007,-27.7478058220729,359.989950333166,-27.7056868889365,8.67752743,3.05492111321551,2,0,-27.2,-0.0108867089929845,0.012240283988362,0.547805822072899
0.0_-27.2,359.870278853031,-27.2890311446102,359.881310207003,-27.2814600269194,9.20526791,3.05492111321551,2,0,-27.2,-0.129721146969018,0.145849740194217,0.0890311446101997
0.0_-28.2,0.464163812500765,-28.2164637489143,0.428066389698556,-28.215183384333,8.94141388,3.05492111321551,2,0,-28.2,0.464163812500765,0.526678763612213,0.0164637489143011
0.0_-28.2,0.200316648781928,-27.8826310773027,0.184528235064844,-27.9076452330554,7.75387287,3.05492111321551,2,0,-28.2,0.200316648781928,0.227295885784362,0.317368922697298
0.0_-28.2,359.738437740879,-28.6899734595672,359.758540153408,-28.6523164648403,8.56556511,3.05492111321551,2,0,-28.2,-0.261562259120979,0.296790235540448,0.489973459567199
0.0_-28.2,359.671479793893,-28.1638299244816,359.697577574109,-28.1667032901491,9.54719162,3.05492111321551,2,0,-28.2,-0.328520206106987,0.372766276289089,0.0361700755183989
0.0_-28.2,359.469606611912,-27.98370851918,359.510304852163,-28.000305035744,8.9134903,3.05492111321551,2,0,-28.2,-0.530393388087987,0.601828333754073,0.216291480820001
0.0_-28.2,359.684910878952,-27.7408284357522,359.709143950022,-27.7761426894241,7.79592419,3.05492111321551,2,0,-28.2,-0.315089121048004,0.357526253085376,0.4591715642478
0.0_-28.2,359.989111797836,-27.6644418392621,359.989950333166,-27.7056868889365,8.67752743,3.05492111321551,2,0,-28.2,-0.0108882021639829,0.0123546573413171,0.535558160737899
0.0_-29.2,0.366302797974024,-28.6857174949705,0.33826054705869,-28.725088308208,6.80666542,3.05492111321551,2,0,-29.2,0.366302797974024,0.419628289296668,0.514282505029499
0.0_-29.2,359.854612345721,-29.5098692427623,359.866192012535,-29.4851891376682,4.87282419,4.28002024123441,2,0,-29.2,-0.145387654278977,0.166552843678439,0.3098692427623
0.0_-29.2,359.645679530465,-29.528863696115,359.673635574263,-29.5029162031451,8.99946594,3.05492111321551,2,0,-29.2,-0.354320469535026,0.405901601942769,0.328863696115
